0,Situation dans la profession,urbain,Rural,
1,Employeur,"3,0","1,8",
2,Indépendant,"34,7","46,8",
3,Salarié,"59,2","28,9",
4,Aide familiale,"1,9","21,9",
5,Apprenti,"1,2","0,6",
6,Non spécifié,-,"0,1",
